Source,Error,Survey End Date,CON (%),LAB (%),LD (%),UKIP (%),Grn (%),Con Lead
Ipsos-Mori,,1997-04-15,32,49,13,,,
ICM,,1997-04-16,32,47,16,,,
Harris,,1997-04-18,30,48,15,,,
ICM,,1997-04-20,37,42,14,,,
Ipsos-Mori,,1997-04-22,27,48,17,,,
ICM,,1997-04-23,32,47,16,,,
Ipsos-Mori,,1997-04-23,29,53,12,,,
Harris,,1997-04-25,31,48,15,,,
ICM,,1997-04-29,33,43,18,,,
Ipsos-Mori,,1997-04-29,28,48,16,,,
ICM,,1997-06-06,23,62,14,,,
Ipsos-Mori,,1997-06-20,24,58,15,,,
ICM,,1997-06-27,23,61,12,,,
Ipsos-Mori,,1997-07-25,23,57,15,,,
ICM,,1997-08-08,29,55,12,,,
Ipsos-Mori,,1997-08-25,28,54,15,,,
ICM,,1997-08-27,24,60,10,,,
Ipsos-Mori,,1997-09-26,25,59,13,,,
ICM,,1997-10-06,23,59,13,,,
Ipsos-Mori,,1997-10-24,24,60,12,,,
ICM,,1997-11-07,30,52,14,,,
Ipsos-Mori,,1997-11-21,24,56,15,,,
ICM,,1997-12-05,29,50,17,,,
ICM,,1998-01-09,30,48,17,,,
Ipsos-Mori,,1998-01-23,28,54,14,,,
ICM,,1998-02-06,31,47,18,,,
Ipsos-Mori,,1998-02-20,28,52,15,,,
ICM,,1998-03-06,33,46,17,,,
Ipsos-Mori,,1998-03-20,28,53,14,,,
Ipsos-Mori,,1998-04-24,27,55,14,,,
ICM,,1998-05-13,25,47,15,,,
ICM,,1998-05-15,29,50,16,,,
Ipsos-Mori,,1998-05-21,26,55,14,,,
ICM,,1998-06-05,29,51,16,,,
Ipsos-Mori,,1998-06-25,27,56,13,,,
ICM,,1998-07-03,27,52,17,,,
ICM,,1998-07-07,31,47,17,,,
Ipsos-Mori,,1998-07-17,28,53,14,,,
Ipsos-Mori,,1998-08-21,28,52,14,,,
ICM,,1998-09-04,29,49,17,,,
Ipsos-Mori,,1998-09-18,24,56,15,,,
ICM,,1998-10-01,29,51,15,,,
Ipsos-Mori,,1998-10-23,26,53,16,,,
ICM,,1998-11-04,27,51,17,,,
Ipsos-Mori,,1998-11-20,29,53,13,,,
ICM,,1998-12-04,29,49,16,,,
Ipsos-Mori,,1998-12-11,27,54,12,,,
ICM,,1998-12-30,30,50,15,,,
Ipsos-Mori,,1999-01-22,24,56,14,,,
ICM,,1999-02-05,28,49,16,,,
Ipsos-Mori,,1999-02-19,30,51,14,,,
ICM,,1999-03-05,29,52,16,,,
Ipsos-Mori,,1999-03-19,27,54,13,,,
ICM,,1999-04-16,29,52,16,,,
Ipsos-Mori,,1999-04-23,25,56,13,,,
Ipsos-Mori,,1999-04-30,30,50,14,,,
ICM,,1999-05-07,28,51,16,,,
Ipsos-Mori,,1999-05-21,28,52,14,,,
ICM,,1999-06-04,29,46,19,,,
Ipsos-Mori,,1999-06-18,28,51,13,,,
ICM,,1999-07-09,31,48,16,,,
Ipsos-Mori,,1999-07-23,28,51,14,,,
ICM,,1999-08-13,30,48,16,,,
Ipsos-Mori,,1999-08-20,27,49,17,,,
Ipsos-Mori,,1999-09-09,32,49,13,,,
ICM,,1999-09-17,32,45,16,,,
ICM,,1999-09-21,32,47,16,,,
Ipsos-Mori,,1999-09-24,25,52,17,,,
Ipsos-Mori,,1999-10-13,31,52,13,,,
ICM,,1999-10-22,32,45,17,,,
Ipsos-Mori,,1999-10-22,28,56,11,,,
Ipsos-Mori,,1999-11-08,32,50,12,,,
ICM,,1999-11-12,34,44,15,,,
Ipsos-Mori,,1999-11-19,25,55,14,,,
Ipsos-Mori,,1999-12-10,28,54,13,,,
ICM,,1999-12-10,29,48,17,,,
ICM,,2000-01-14,30,47,17,,,
Ipsos-Mori,,2000-01-20,30,50,15,,,
ICM,,2000-02-11,29,44,18,,,
Ipsos-Mori,,2000-02-17,29,50,15,,,
ICM,,2000-03-17,32,44,16,,,
Ipsos-Mori,,2000-03-23,29,50,14,,,
Ipsos-Mori,,2000-04-13,27,51,15,,,
ICM,,2000-04-14,32,45,15,,,
ICM,,2000-05-06,35,43,15,,,
ICM,,2000-05-13,34,41,18,,,
Ipsos-Mori,,2000-05-17,33,46,14,,,
Ipsos-Mori,,2000-05-18,32,48,15,,,
Ipsos-Mori,,2000-06-08,38,41,16,,,
Ipsos-Mori,,2000-06-22,34,47,14,,,
Ipsos-Mori,,2000-06-22,33,47,13,,,
ICM,,2000-06-23,32,43,17,,,
Ipsos-Mori,,2000-06-29,32,46,17,,,
Ipsos-Mori,,2000-07-12,32,47,15,,,
ICM,,2000-07-14,35,42,17,,,
Ipsos-Mori,,2000-07-20,32,51,11,,,
Ipsos-Mori,,2000-07-20,33,49,12,,,
ICM,,2000-08-11,34,44,17,,,
Ipsos-Mori,,2000-08-17,29,51,15,,,
Ipsos-Mori,,2000-08-17,32,51,12,,,
Ipsos-Mori,,2000-08-31,32,48,13,,,
Ipsos-Mori,,2000-09-14,38,36,18,,,
ICM,,2000-09-15,38,34,22,,,
Ipsos-Mori,,2000-09-21,35,37,21,,,
Ipsos-Mori,,2000-09-21,39,35,21,,,
ICM,,2000-09-28,37,38,20,,,
Ipsos-Mori,,2000-09-28,36,43,16,,,
Ipsos-Mori,,2000-10-10,38,40,19,,,
Ipsos-Mori,,2000-10-13,38,40,19,,,
ICM,,2000-10-13,35,40,19,,,
Ipsos-Mori,,2000-10-19,32,45,17,,,
Ipsos-Mori,,2000-11-02,34,42,17,,,
ICM,,2000-11-03,34,40,20,,,
Ipsos-Mori,,2000-11-23,33,48,13,,,
Ipsos-Mori,,2000-11-24,34,47,13,,,
ICM,,2000-12-01,34,44,16,,,
Ipsos-Mori,,2000-12-07,34,46,14,,,
Ipsos-Mori,,2000-12-13,32,47,16,,,
Ipsos-Mori,,2001-01-04,35,46,14,,,
Ipsos-Mori,,2001-01-11,31,52,11,,,
Ipsos-Mori,,2001-01-18,31,50,14,,,
ICM,,2001-01-19,34,44,16,,,
Ipsos-Mori,,2001-01-25,31,49,14,,,
Ipsos-Mori,,2001-01-25,29,49,15,,,
Ipsos-Mori,,2001-02-15,30,50,14,,,
ICM,,2001-02-16,32,47,15,,,
ICM,,2001-03-16,35,44,16,,,
Ipsos-Mori,,2001-03-22,31,50,14,,,
ICM,,2001-03-29,34,49,13,,,
Ipsos-Mori,,2001-03-30,32,48,15,,,
Ipsos-Mori,,2001-04-10,29,53,12,,,
Ipsos-Mori,,2001-04-19,30,50,13,,,
ICM,,2001-04-20,33,47,14,,,
Ipsos-Mori,,2001-04-30,32,50,13,,,
Ipsos-Mori,,2001-05-08,30,54,13,,,
ICM,,2001-05-10,32,48,15,,,
Ipsos-Mori,,2001-05-10,31,51,13,,,
Ipsos-Mori,,2001-05-10,26,54,14,,,
ICM,,2001-05-11,32,48,14,,,
ICM,,2001-05-13,31,46,16,,,
Ipsos-Mori,,2001-05-15,28,54,12,,,
ICM,,2001-05-21,32,45,17,,,
Ipsos-Mori,,2001-05-22,30,55,11,,,
ICM,,2001-05-26,28,47,17,,,
Ipsos-Mori,,2001-05-29,30,48,16,,,
ICM,,2001-05-30,31,43,19,,,
ICM,,2001-05-31,34,46,15,,,
Ipsos-Mori,,2001-05-31,27,50,17,,,
ICM,,2001-06-02,30,47,18,,,
ICM,,2001-06-02,32,43,19,,,
Ipsos-Mori,,2001-06-05,30,45,18,,,
Ipsos-Mori,,2001-06-19,25,52,17,,,
Ipsos-Mori,,2001-06-21,25,49,19,,,
ICM,,2001-07-13,30,46,18,,,
ICM,,2001-07-20,19,53,14,,,
ICM,,2001-08-17,30,46,17,,,
Ipsos-Mori,,2001-08-23,25,53,16,,,
ICM,,2001-09-14,29,46,20,,,
Ipsos-Mori,,2001-09-20,27,53,15,,,
Ipsos-Mori,,2001-10-18,25,57,13,,,
ICM,,2001-10-19,29,47,19,,,
ICM,,2001-11-16,29,46,19,,,
Ipsos-Mori,,2001-11-22,25,56,15,,,
ICM,,2001-12-14,29,44,20,,,
ICM,,2002-01-18,30,45,19,,,
Ipsos-Mori,,2002-01-24,27,51,16,,,
ICM,,2002-02-15,30,47,18,,,
Ipsos-Mori,,2002-02-21,28,51,16,,,
YouGov,,2002-03-07,31,42,20,,,
ICM,,2002-03-15,34,43,17,,,
Ipsos-Mori,,2002-03-21,28,47,19,,,
ICM,,2002-04-18,32,45,17,,,
Ipsos-Mori,,2002-04-18,27,50,16,,,
ICM,,2002-04-20,29,45,18,,,
ICM,,2002-05-17,34,42,19,,,
YouGov,,2002-05-23,32,40,21,,,
Ipsos-Mori,,2002-05-23,30,46,17,,,
Ipsos-Mori,,2002-06-20,29,48,17,,,
YouGov,,2002-06-21,35,38,20,,,
ICM,,2002-06-21,32,42,20,,,
Ipsos-Mori,,2002-07-18,27,48,18,,,
YouGov,,2002-07-24,34,38,22,,,
ICM,,2002-07-26,33,42,20,,,
YouGov,,2002-08-21,33,40,20,,,
ICM,,2002-08-23,32,41,21,,,
ICM,,2002-09-20,34,39,20,,,
YouGov,,2002-09-25,32,40,22,,,
ICM,,2002-10-02,27,42,23,,,
ICM,,2002-10-18,32,43,20,,,
YouGov,,2002-10-23,31,40,22,,,
ICM,,2002-11-06,29,43,21,,,
Ipsos-Mori,,2002-11-14,30,42,21,,,
ICM,,2002-11-15,29,41,22,,,
YouGov,,2002-11-20,30,39,23,,,
Ipsos-Mori,,2002-12-12,33,37,24,,,
ICM,,2002-12-13,27,41,23,,,
YouGov,,2003-01-03,31,38,23,,,
YouGov,,2003-01-16,31,37,25,,,
ICM,,2003-01-17,30,43,21,,,
Ipsos-Mori,,2003-01-23,31,40,22,,,
YouGov,,2003-01-28,32,36,24,,,
Populus,,2003-02-07,34,35,25,,,
YouGov,,2003-02-07,32,37,24,,,
ICM,,2003-02-14,31,39,22,,,
YouGov,,2003-02-17,33,34,26,,,
Ipsos-Mori,,2003-02-20,29,41,22,,,
YouGov,,2003-02-20,33,35,25,,,
YouGov,,2003-02-25,31,35,26,,,
Populus,,2003-03-07,34,34,24,,,
ICM,,2003-03-14,32,38,24,,,
Ipsos-Mori,,2003-03-20,29,43,21,,,
YouGov,,2003-03-26,33,40,20,,,
Populus,,2003-04-10,29,42,22,,,
YouGov,,2003-04-10,33,41,18,,,
ICM,,2003-04-17,30,42,21,,,
YouGov,,2003-04-22,32,40,21,,,
Ipsos-Mori,,2003-04-24,29,43,21,,,
Populus,,2003-05-02,34,36,22,,,
ICM,,2003-05-16,29,41,21,,,
Ipsos-Mori,,2003-05-22,31,39,22,,,
YouGov,,2003-05-28,36,37,20,,,
Populus,,2003-06-13,33,37,20,,,
YouGov,,2003-06-19,36,37,20,,,
ICM,,2003-06-20,34,38,21,,,
YouGov,,2003-06-24,37,35,21,,,
Ipsos-Mori,,2003-06-26,35,35,19,,,
Populus,,2003-07-04,34,36,21,,,
Ipsos-Mori,,2003-07-07,35,38,19,,,
Ipsos-Mori,,2003-07-17,38,35,21,,,
ICM,,2003-07-18,34,36,22,,,
YouGov,,2003-07-22,37,34,22,,,
Populus,,2003-08-01,32,34,25,,,
YouGov,,2003-08-07,38,34,21,,,
ICM,,2003-08-15,32,37,22,,,
YouGov,,2003-08-26,37,35,20,,,
Ipsos-Mori,,2003-08-28,34,36,24,,,
YouGov,,2003-09-04,37,36,18,,,
Populus,,2003-09-05,34,39,19,,,
Ipsos-Mori,,2003-09-11,31,40,21,,,
ICM,,2003-09-19,30,35,28,,,
YouGov,,2003-09-23,32,31,30,,,
ICM,,2003-09-24,31,31,31,,,
YouGov,,2003-09-25,33,30,30,,,
YouGov,,2003-09-30,33,33,28,,,
YouGov,,2003-10-02,33,34,26,,,
Populus,,2003-10-03,31,36,26,,,
Populus,,2003-10-06,31,36,26,,,
YouGov,,2003-10-10,38,33,22,,,
YouGov,,2003-10-16,34,34,25,,,
ICM,,2003-10-17,33,38,21,,,
Ipsos-Mori,,2003-10-23,35,38,21,,,
YouGov,,2003-10-30,34,36,23,,,
Ipsos-Mori,,2003-10-31,32,38,25,,,
ICM,,2003-11-06,31,39,22,,,
Populus,,2003-11-07,31,36,25,,,
YouGov,,2003-11-07,34,36,24,,,
YouGov,,2003-11-13,36,39,20,,,
ICM,,2003-11-14,33,38,21,,,
Ipsos-Mori,,2003-11-20,35,36,22,,,
YouGov,,2003-11-25,38,36,19,,,
YouGov,,2003-11-28,31,40,21,,,
YouGov,,2003-12-05,31,38,23,,,
Populus,,2003-12-05,33,36,22,,,
Ipsos-Mori,,2003-12-11,31,40,22,,,
ICM,,2003-12-12,33,38,22,,,
YouGov,,2003-12-16,35,40,18,,,
Populus,,2004-01-02,35,40,18,,,
Ipsos-Mori,,2004-01-15,35,37,21,,,
ICM,,2004-01-16,34,39,20,,,
YouGov,,2004-01-20,40,35,19,,,
Populus,,2004-02-06,31,36,25,,,
Ipsos-Mori,,2004-02-12,35,36,21,,,
ICM,,2004-02-13,34,34,24,,,
ICM,,2004-02-20,34,36,21,,,
YouGov,,2004-02-24,39,34,21,,,
Populus,,2004-03-05,34,36,22,,,
ICM,,2004-03-10,35,37,21,,,
Ipsos-Mori,,2004-03-11,35,35,23,,,
YouGov,,2004-03-23,39,34,20,,,
Populus,,2004-04-02,34,34,22,,,
Ipsos-Mori,,2004-04-15,31,40,21,,,
Ipsos-Mori,,2004-04-15,34,36,22,,,
ICM,,2004-04-16,33,38,22,,,
YouGov,,2004-04-27,39,35,19,,,
YouGov,,2004-05-06,40,36,18,,,
Populus,,2004-05-07,36,32,22,,,
YouGov,,2004-05-13,37,34,20,,,
ICM,,2004-05-20,33,37,21,,,
YouGov,,2004-05-25,34,33,21,,,
Ipsos-Mori,,2004-05-27,34,35,18,,,
Populus,,2004-06-04,29,31,22,,,
ICM,,2004-06-11,31,34,22,,,
Ipsos-Mori,,2004-06-18,27,32,22,,,
YouGov,,2004-06-22,34,33,21,,,
Ipsos-Mori,,2004-06-24,31,34,19,,,
Populus,,2004-07-02,29,33,24,,,
YouGov,,2004-07-08,34,34,20,,,
ICM,,2004-07-16,30,35,25,,,
YouGov,,2004-07-16,33,33,22,,,
Populus,,2004-07-21,28,30,28,,,
Ipsos-Mori,,2004-07-22,31,32,24,,,
YouGov,,2004-07-26,33,34,23,,,
Populus,,2004-07-31,32,32,24,,,
Ipsos-Mori,,2004-08-12,32,36,21,,,
ICM,,2004-08-13,33,36,22,,,
YouGov,,2004-08-23,34,34,21,,,
Populus,,2004-09-03,30,32,26,,,
Ipsos-Mori,,2004-09-10,33,32,25,,,
ICM,,2004-09-17,32,36,22,,,
YouGov,,2004-09-21,34,36,21,,,
Populus,,2004-09-30,28,35,25,,,
YouGov,,2004-10-01,29,35,22,,,
ICM,,2004-10-06,30,39,23,,,
Ipsos-Mori,,2004-10-21,29,39,22,,,
ICM,,2004-10-22,31,37,23,,,
YouGov,,2004-10-26,32,34,22,,,
Ipsos-Mori,,2004-11-04,31,35,23,,,
Populus,,2004-11-05,33,34,22,,,
ICM,,2004-11-12,30,38,22,,,
YouGov,,2004-11-23,32,35,23,,,
Populus,,2004-12-03,33,37,20,,,
YouGov,,2004-12-14,32,35,21,,,
ICM,,2004-12-16,31,39,22,,,
YouGov,,2004-12-16,32,35,23,,,
ICM,,2005-01-05,31,38,21,,,
Populus,,2005-01-07,33,38,20,,,
Ipsos-Mori,,2005-01-20,32,38,22,,,
YouGov,,2005-01-20,31,34,25,,,
ICM,,2005-01-21,31,38,21,,,
YouGov,,2005-01-25,34,35,22,,,
ComRes,,2005-01-25,32,40,20,,,
YouGov,,2005-01-26,33,35,23,,,
ICM,,2005-01-26,32,37,21,,,
YouGov,,2005-02-03,33,34,23,,,
Populus,,2005-02-04,32,41,18,,,
Ipsos-Mori,,2005-02-17,37,39,18,,,
ICM,,2005-02-18,35,36,21,,,
YouGov,,2005-02-22,32,38,21,,,
ComRes,,2005-02-23,34,41,17,,,
Populus,,2005-03-04,32,39,20,,,
Ipsos-Mori,,2005-03-17,37,37,20,,,
YouGov,,2005-03-17,32,37,23,,,
ICM,,2005-03-18,32,40,20,,,
YouGov,,2005-03-21,34,35,22,,,
ComRes,,2005-03-22,31,43,17,,,
ComRes,,2005-03-24,34,40,16,,,
ICM,,2005-04-01,34,37,21,,,
Ipsos-Mori,,2005-04-01,39,34,21,,,
Populus,,2005-04-01,35,37,19,,,
YouGov,,2005-04-04,36,36,21,,,
YouGov,,2005-04-05,35,36,21,,,
Ipsos-Mori,,2005-04-07,35,39,21,,,
YouGov,,2005-04-07,35,37,21,,,
ICM,,2005-04-07,34,38,20,,,
Ipsos-Mori,,2005-04-07,33,40,19,,,
YouGov,,2005-04-08,36,36,20,,,
ICM,,2005-04-09,33,38,22,,,
ICM,,2005-04-10,33,39,21,,,
ComRes,,2005-04-11,34,40,20,,,
YouGov,,2005-04-12,33,38,22,,,
ICM,,2005-04-13,30,40,22,,,
YouGov,,2005-04-14,35,36,23,,,
Ipsos-Mori,,2005-04-15,32,40,21,,,
Populus,,2005-04-15,33,39,21,,,
YouGov,,2005-04-15,33,36,23,,,
Populus,,2005-04-16,31,40,21,,,
ICM,,2005-04-16,34,41,20,,,
ICM,,2005-04-17,33,39,22,,,
Ipsos-Mori,,2005-04-18,32,39,22,,,
YouGov,,2005-04-19,34,37,22,,,
ComRes,,2005-04-19,35,40,18,,,
ICM,,2005-04-20,33,39,21,,,
Ipsos-Mori,,2005-04-21,34,36,23,,,
YouGov,,2005-04-21,33,37,23,,,
Populus,,2005-04-22,32,41,20,,,
YouGov,,2005-04-22,33,37,24,,,
ComRes,,2005-04-23,31,39,23,,,
Populus,,2005-04-23,31,40,21,,,
ICM,,2005-04-23,33,39,22,,,
ICM,,2005-04-24,33,40,20,,,
YouGov,,2005-04-26,32,36,24,,,
Populus,,2005-04-27,29,42,21,,,
ICM,,2005-04-27,31,39,22,,,
YouGov,,2005-04-28,33,36,23,,,
Ipsos-Mori,,2005-04-28,33,36,22,,,
Populus,,2005-04-29,27,41,23,,,
YouGov,,2005-04-29,33,36,24,,,
Ipsos-Mori,,2005-04-29,29,39,22,,,
Harris,,2005-05-01,34,38,22,,,
ICM,,2005-05-01,32,38,22,,,
YouGov,,2005-05-02,32,36,25,,,
Populus,,2005-05-02,32,38,21,,,
Harris,,2005-05-03,33,38,22,,,
Ipsos-Mori,,2005-05-03,33,38,23,,,
YouGov,,2005-05-03,32,37,24,,,
Ipsos-Mori,,2005-05-19,30,37,26,,,
YouGov,,2005-05-24,31,38,23,,,
Ipsos-Mori,,2005-06-16,29,42,21,,,
ICM,,2005-06-17,31,38,23,,,
YouGov,,2005-06-28,33,38,20,,,
Ipsos-Mori,,2005-07-14,28,41,25,,,
ICM,,2005-07-15,31,39,23,,,
Populus,,2005-07-22,28,40,22,,,
YouGov,,2005-07-26,31,40,21,,,
Ipsos-Mori,,2005-08-11,31,39,24,,,
ICM,,2005-08-12,31,38,22,,,
YouGov,,2005-08-19,33,40,20,,,
Populus,,2005-09-02,35,37,20,,,
YouGov,,2005-09-08,32,37,21,,,
ICM,,2005-09-16,31,40,21,,,
Ipsos-Mori,,2005-09-22,29,39,25,,,
YouGov,,2005-09-27,32,40,20,,,
Populus,,2005-10-07,30,40,21,,,
ICM,,2005-10-19,33,36,22,,,
Ipsos-Mori,,2005-10-20,30,43,21,,,
YouGov,,2005-10-25,32,40,19,,,
ICM,,2005-11-02,33,39,21,,,
Populus,,2005-11-04,32,40,19,,,
Ipsos-Mori,,2005-11-17,32,42,19,,,
YouGov,,2005-11-22,35,37,20,,,
YouGov,,2005-12-05,36,36,18,,,
YouGov,,2005-12-06,37,36,18,,,
ICM,,2005-12-07,37,35,21,,,
Populus,,2005-12-09,35,38,19,,,
Ipsos-Mori,,2005-12-09,40,31,21,,,
YouGov,,2005-12-13,38,36,18,,,
ICM,,2005-12-15,37,36,21,,,
Populus,,2006-01-06,36,39,16,,,
ICM,,2006-01-11,39,35,20,,,
Ipsos-Mori,,2006-01-19,40,38,17,,,
ICM,,2006-01-26,37,36,18,,,
Populus,,2006-02-03,37,36,18,,,
YouGov,,2006-02-09,37,39,15,,,
Ipsos-Mori,,2006-02-16,33,41,20,,,
ICM,,2006-02-17,38,34,20,,,
YouGov,,2006-02-21,38,36,18,,,
Populus,,2006-03-03,35,35,20,,,
ICM,,2006-03-10,35,37,21,,,
ICM,,2006-03-16,33,38,21,,,
Ipsos-Mori,,2006-03-16,34,39,19,,,
YouGov,,2006-03-16,38,35,19,,,
YouGov,,2006-03-27,36,36,18,,,
Populus,,2006-03-31,34,36,21,,,
ICM,,2006-04-05,35,35,21,,,
YouGov,,2006-04-18,33,35,17,,,
Ipsos-Mori,,2006-04-20,30,30,25,,,
ICM,,2006-04-21,34,32,24,,,
Ipsos-Mori,,2006-04-27,36,32,21,,,
YouGov,,2006-04-27,35,32,18,,,
Populus,,2006-05-05,38,30,20,,,
YouGov,,2006-05-08,37,31,17,,,
ICM,,2006-05-19,38,34,20,,,
YouGov,,2006-05-23,38,32,16,,,
Ipsos-Mori,,2006-05-25,41,31,18,,,
Populus,,2006-06-02,37,34,18,,,
Ipsos-Mori,,2006-06-08,41,34,18,,,
ICM,,2006-06-16,37,32,21,,,
Ipsos-Mori,,2006-06-20,36,33,21,,,
YouGov,,2006-06-21,39,32,17,,,
YouGov,,2006-06-26,39,33,18,,,
Ipsos-Mori,,2006-07-20,36,32,24,,,
ICM,,2006-07-21,39,35,17,,,
YouGov,,2006-07-24,38,33,18,,,
ICM,,2006-08-18,40,31,22,,,
YouGov,,2006-08-22,38,31,18,,,
Ipsos-Mori,,2006-08-31,35,36,19,,,
ICM,,2006-09-13,37,33,22,,,
ICM,,2006-09-19,36,32,22,,,
YouGov,,2006-09-19,38,31,18,,,
YouGov,,2006-09-21,37,33,18,,,
YouGov,,2006-09-27,36,36,16,,,
ICM,,2006-09-28,36,35,19,,,
Populus,,2006-10-06,36,35,18,,,
Ipsos-Mori,,2006-10-12,35,37,18,,,
ICM,,2006-10-20,39,29,22,,,
YouGov,,2006-10-24,39,32,16,,,
Populus,,2006-11-03,36,33,20,,,
Ipsos-Mori,,2006-11-09,35,33,20,,,
ICM,,2006-11-17,37,32,22,,,
ComRes,,2006-11-24,35,36,17,,,
YouGov,,2006-11-28,37,32,16,,,
Ipsos-Mori,,2006-12-07,37,36,18,,,
Populus,,2006-12-08,34,33,19,,,
ICM,,2006-12-15,40,32,18,,,
YouGov,,2006-12-18,37,33,17,,,
ComRes,,2006-12-19,37,35,14,,,
YouGov,,2006-12-20,37,32,15,,,
Populus,,2007-01-05,39,32,18,,,
Ipsos-Mori,,2007-01-19,39,35,19,,,
ICM,,2007-01-19,37,31,23,,,
YouGov,,2007-01-22,38,31,18,,,
ComRes,,2007-01-26,34,29,21,,,
Populus,,2007-02-02,36,33,19,,,
YouGov,,2007-02-08,37,32,18,,,
ICM,,2007-02-16,40,31,19,,,
YouGov,,2007-02-19,37,32,17,,,
ComRes,,2007-02-23,40,29,17,,,
Populus,,2007-03-02,38,30,18,,,
Ipsos-Mori,,2007-03-09,41,33,17,,,
YouGov,,2007-03-14,38,32,16,,,
ICM,,2007-03-16,41,31,18,,,
ComRes,,2007-03-23,35,31,20,,,
YouGov,,2007-03-26,39,32,17,,,
YouGov,,2007-04-04,39,31,16,,,
Populus,,2007-04-13,37,29,20,,,
Ipsos-Mori,,2007-04-19,38,31,20,,,
ComRes,,2007-04-20,36,27,22,,,
ICM,,2007-04-20,37,30,21,,,
YouGov,,2007-04-23,37,32,18,,,
YouGov,,2007-05-10,38,34,15,,,
Populus,,2007-05-11,37,33,17,,,
Ipsos-Mori,,2007-05-17,37,35,18,,,
ICM,,2007-05-18,34,32,21,,,
YouGov,,2007-05-21,39,33,15,,,
ComRes,,2007-05-25,35,31,19,,,
ICM,,2007-05-30,37,32,21,,,
Populus,,2007-06-01,36,33,17,,,
Ipsos-Mori,,2007-06-14,36,39,15,,,
YouGov,,2007-06-14,37,35,14,,,
ComRes,,2007-06-22,37,32,18,,,
ICM,,2007-06-27,35,39,18,,,
YouGov,,2007-06-28,35,38,15,,,
Populus,,2007-07-01,34,37,18,,,
ICM,,2007-07-04,35,37,17,,,
ICM,,2007-07-11,33,40,19,,,
Ipsos-Mori,,2007-07-12,35,41,15,,,
YouGov,,2007-07-19,33,40,15,,,
ICM,,2007-07-20,32,38,20,,,
YouGov,,2007-07-23,32,41,16,,,
Populus,,2007-07-27,33,39,15,,,
ComRes,,2007-07-27,34,37,16,,,
ICM,,2007-08-08,33,39,18,,,
Ipsos-Mori,,2007-08-08,33,38,15,,,
YouGov,,2007-08-09,32,42,14,,,
ICM,,2007-08-22,34,39,18,,,
Ipsos-Mori,,2007-08-23,36,41,16,,,
YouGov,,2007-08-24,33,41,14,,,
ComRes,,2007-08-29,36,36,15,,,
YouGov,,2007-08-29,35,38,15,,,
Populus,,2007-08-31,36,37,18,,,
ComRes,,2007-09-11,34,37,15,,,
YouGov,,2007-09-13,34,39,15,,,
ICM,,2007-09-13,32,40,20,,,
YouGov,,2007-09-19,33,39,16,,,
ICM,,2007-09-19,33,39,18,,,
Ipsos-Mori,,2007-09-20,34,42,14,,,
YouGov,,2007-09-24,33,44,13,,,
YouGov,,2007-09-26,32,43,15,,,
Populus,,2007-09-26,31,41,17,,,
Ipsos-Mori,,2007-09-27,34,41,16,,,
Populus,,2007-10-02,36,39,15,,,
ICM,,2007-10-03,38,38,16,,,
YouGov,,2007-10-03,36,40,13,,,
Populus,,2007-10-05,38,40,12,,,
YouGov,,2007-10-06,41,38,11,,,
Ipsos-Mori,,2007-10-10,41,38,11,,,
ICM,,2007-10-10,43,36,14,,,
Ipsos-Mori,,2007-10-18,40,41,13,,,
YouGov,,2007-10-22,41,38,11,,,
ICM,,2007-10-26,40,35,18,,,
ComRes,,2007-10-26,41,33,16,,,
Ipsos-Mori,,2007-10-31,40,35,13,,,
Populus,,2007-11-02,37,36,16,,,
ICM,,2007-11-08,43,35,15,,,
YouGov,,2007-11-14,41,35,13,,,
YouGov,,2007-11-21,41,32,14,,,
ICM,,2007-11-21,37,31,21,,,
Populus,,2007-11-21,41,32,14,,,
ComRes,,2007-11-23,40,27,18,,,
Ipsos-Mori,,2007-11-23,41,32,17,,,
YouGov,,2007-11-26,43,32,14,,,
ICM,,2007-11-28,41,30,19,,,
Ipsos-Mori,,2007-11-29,42,35,14,,,
Populus,,2007-12-07,40,32,16,,,
YouGov,,2007-12-13,45,32,14,,,
ComRes,,2007-12-14,41,30,16,,,
YouGov,,2007-12-17,43,31,16,,,
ICM,,2007-12-18,39,34,18,,,
YouGov,,2007-12-20,40,35,15,,,
Populus,,2008-01-04,37,33,19,,,
YouGov,,2008-01-07,41,34,14,,,
ICM,,2008-01-09,40,33,18,,,
Ipsos-Mori,,2008-01-09,42,32,15,,,
YouGov,,2008-01-10,43,33,14,,,
Ipsos-Mori,,2008-01-17,37,38,16,,,
ICM,,2008-01-18,37,35,20,,,
YouGov,,2008-01-21,41,33,16,,,
ComRes,,2008-01-25,38,30,17,,,
ICM,,2008-01-30,37,32,21,,,
Populus,,2008-02-01,40,31,17,,,
YouGov,,2008-02-14,41,32,16,,,
ICM,,2008-02-15,37,34,21,,,
YouGov,,2008-02-18,40,34,16,,,
Ipsos-Mori,,2008-02-21,39,37,16,,,
ComRes,,2008-02-22,41,30,17,,,
YouGov,,2008-02-25,40,33,16,,,
Populus,,2008-03-07,37,34,19,,,
Ipsos-Mori,,2008-03-13,40,35,18,,,
YouGov,,2008-03-13,43,27,16,,,
ICM,,2008-03-14,42,29,21,,,
YouGov,,2008-03-25,43,29,17,,,
ComRes,,2008-03-28,38,31,17,,,
ICM,,2008-04-02,43,32,18,,,
Populus,,2008-04-04,39,33,17,,,
YouGov,,2008-04-10,44,28,17,,,
